"","cdatetime","district","crime_level","longitude","latitude","registry_number","sum_acomulated","mean_acomulated"
"73",2006-01-01,1,8,-121.4934272,38.61488957,73,400,5.47945205479452
"74",2006-01-01,3,2,-121.5059336,38.58239328,74,402,5.43243243243243
"75",2006-01-01,6,8,-121.4661214,38.53116122,75,410,5.46666666666667
"76",2006-01-01,2,2,-121.4473501,38.60641085,76,412,5.42105263157895
"77",2006-01-01,3,7,-121.4882896,38.57682477,77,419,5.44155844155844
"78",2006-01-01,1,4,-121.5287747,38.63207451,78,423,5.42307692307692
"79",2006-01-01,2,7,-121.456171,38.60108154,79,430,5.44303797468354
"80",2006-01-01,5,5,-121.4996944,38.47489873,80,435,5.4375
"81",2006-01-01,1,4,-121.5226753,38.67510292,81,439,5.41975308641975
"82",2006-01-01,5,7,-121.4513773,38.46594742,82,446,5.4390243902439
"83",2006-01-01,6,3,-121.409083,38.51055016,83,449,5.40963855421687
"84",2006-01-01,3,7,-121.465448,38.570664,84,456,5.42857142857143
"85",2006-01-01,2,9,-121.4563115,38.6432324,85,465,5.47058823529412
"86",2006-01-01,1,3,-121.5035491,38.67318557,86,468,5.44186046511628
"87",2006-01-01,1,6,-121.5088707,38.66695301,87,474,5.44827586206897
"88",2006-01-01,5,7,-121.443044,38.45025842,88,481,5.46590909090909
"89",2006-01-01,6,7,-121.4378491,38.52337984,89,488,5.48314606741573
"90",2006-01-01,4,3,-121.4923822,38.56159185,90,491,5.45555555555556
"91",2006-01-01,3,4,-121.4516767,38.56438552,91,495,5.43956043956044
"92",2006-01-01,5,1,-121.4619674,38.49603233,92,496,5.39130434782609
"93",2006-01-01,6,5,-121.4469794,38.52967087,93,501,5.38709677419355
"94",2006-01-01,5,5,-121.4368769,38.47425283,94,506,5.38297872340426
"95",2006-01-01,3,3,-121.4864344,38.57941421,95,509,5.35789473684211
"96",2006-01-01,5,1,-121.4368769,38.47425283,96,510,5.3125
